,Train ID,Year,Date,Operator,Place,Train mission,Tågnr,Route,Route number,Reason code,Reason code - level 1,Reason code Level 2,Reason code Level 3,registered delay,Train number
,2018-01-017123,2018,2018-01-01,Svenska Tågkompaniet AB,Storsund,7123,7123,LE-UÅ,3165,JJF -,Järnvägsföretag,Ingen uppgift från JF,-,3,F0942
,2018-01-017123,2018,2018-01-01,Svenska Tågkompaniet AB,Vännäs,7123,7123,LE-UÅ,3165,JTP -,Järnvägsföretag,Terminal/Plattform-hantering,-,5,F0942
,2018-01-017165,2018,2018-01-01,Svenska Tågkompaniet AB,Kirunavaara,7165,7165,KMB-LE,3167,JJF -,Järnvägsföretag,Ingen uppgift från JF,-,4,F26006
,2018-01-017410,2018,2018-01-01,Svenska Tågkompaniet AB,Gimonäs,7410,7410,SUC-ÖK-UÅ,3160,JDM 03,Järnvägsföretag,Dragfordon / motorvagn,Strömavtagare,6,F26010
,2018-01-017410,2018,2018-01-01,Svenska Tågkompaniet AB,Rundvik,7410,7410,SUC-ÖK-UÅ,3160,JDM 03,Järnvägsföretag,Dragfordon / motorvagn,Strömavtagare,97,F26010
,2018-01-017410,2018,2018-01-01,Svenska Tågkompaniet AB,Stöcke,7410,7410,SUC-ÖK-UÅ,3160,JDM 03,Järnvägsföretag,Dragfordon / motorvagn,Strömavtagare,4,F26010
,2018-01-017412,2018,2018-01-01,Svenska Tågkompaniet AB,Sprängsviken,7412,7412,SUC-ÖK-UÅ,3160,JDM 03,Järnvägsföretag,Dragfordon / motorvagn,Strömavtagare,6,F26012
,2018-01-017415,2018,2018-01-01,Svenska Tågkompaniet AB,Umeå,7415,7415,UÅ-ÖK-SUC,3161,JDE -,Järnvägsföretag,Sent från depå,-,47,F26005
,2018-01-017417,2018,2018-01-01,Svenska Tågkompaniet AB,Sundsvalls Västra,7417,7417,UÅ-ÖK-SUC,3161,JTP -,Järnvägsföretag,Terminal/Plattform-hantering,-,3,F26012
,2018-01-017456,2018,2018-01-01,Svenska Tågkompaniet AB,Hällenyland,7456,7456,SUC-ÖK-UÅ,3160,JDM -,Järnvägsföretag,Dragfordon / motorvagn,-,119,F26008
,2018-01-017497,2018,2018-01-01,Svenska Tågkompaniet AB,Hällnäs,7497,7497,LY-UÅ,3171,JTP 16,Järnvägsföretag,Terminal/Plattform-hantering,Inväntad förbindelse buss/taxi,15,F1312
,2018-01-017497,2018,2018-01-01,Svenska Tågkompaniet AB,Umeå,7497,7497,LY-UÅ,3171,JTP -,Järnvägsföretag,Terminal/Plattform-hantering,-,3,F1312
,2018-01-017498,2018,2018-01-01,Svenska Tågkompaniet AB,Vännäs,7498,7498,UÅ-LY,3170,JTP -,Järnvägsföretag,Terminal/Plattform-hantering,-,3,F1312
,2018-01-017498,2018,2018-01-01,Svenska Tågkompaniet AB,Vännäs norra,7498,7498,UÅ-LY,3170,JJF -,Järnvägsföretag,Ingen uppgift från JF,-,3,F1312
,2018-01-017506,2018,2018-01-01,Svenska Tågkompaniet AB,Östersunds västra,7506,7506,SUC-ÖS-STR,3168,JTP -,Järnvägsföretag,Terminal/Plattform-hantering,-,3,F26004
,2018-01-017508,2018,2018-01-01,Svenska Tågkompaniet AB,Östersunds c,7508,7508,SUC-ÖS-STR,3168,JTP 13,Järnvägsföretag,Terminal/Plattform-hantering,JF önskemål,3,F26002
,2018-01-017514,2018,2018-01-01,Svenska Tågkompaniet AB,Ånge,7514,7514,SUC-ÖS-STR,3168,JTP -,Järnvägsföretag,Terminal/Plattform-hantering,-,3,F26002
,2018-01-017515,2018,2018-01-01,Svenska Tågkompaniet AB,Undersåker,7515,7515,STR-ÖS-SUC,3169,JDM 06,Järnvägsföretag,Dragfordon / motorvagn,Omstart av system,6,F26004
